"song","artist","rank","weeks_on_board"
"Wild Wild Life","Talking Heads",953,21
"Wild Wild Love","Pitbull Featuring G.R.L.",683,18
"Wild Wild West","Will Smith Featuring Dru Hill & Kool Mo Dee",1343,17
"Wild Women Do (From ""Pretty Woman"")","Natalie Cole",436,10
"Wild World","Cat Stevens",910,13
"Wild World","Maxi Priest",894,18
"Wild World","Mr. Big",1013,20
"Wild World","The Gentrys",8,2
"Wild!","Dee Dee Sharp",445,9
"Wild, Wild West","Kool Moe Dee",266,11
"Wild, Wild West","The Escape Club",1695,27
"Wildest Dreams","Taylor Swift",2151,27
"Wildest Dreams (Taylor's Version)","Taylor Swift",64,1
"Wildfire","John Mayer",29,3
"Wildfire","Michael Murphey",1244,19
"Wildflower","Skylark",1330,21
"Wildflower","The JaneDear Girls",140,8
"Wildflower","The New Birth",333,9
"Wildside","Marky Mark & The Funky Bunch",1316,20
"Wildwood Days","Bobby Rydell",553,9
"Wildwood Weed","Jim Stafford",978,14
"Will 2K","Will Smith Featuring K-Ci",678,13
"Will It Go Round In Circles","Billy Preston",1509,22
"Will Power","The Cookies",124,5
"Will The Wolf Survive","Los Lobos",83,5
"Will You Be Staying After Sunday","The Peppermint Rainbow",537,14
"Will You Be There","Michael Jackson",1480,20
"Will You Be There (In The Morning)","Heart",753,18
"Will You Love Me Tomorrow","Dana Valery",18,4
"Will You Love Me Tomorrow","The 4 Seasons Featuring the ""Sound of Frankie Valli""",518,8
"Will You Love Me Tomorrow","The Shirelles",1481,19
"Will You Love Me Tomorrow?","Melanie",72,4
"Will You Marry Me?","Paula Abdul",778,13
"Will You Still Love Me Tomorrow","Dave Mason",502,12
"Will You Still Love Me Tomorrow","Roberta Flack",103,5
"Will You Still Love Me?","Chicago",1443,23
"Willie & Laura Mae Jones","Dusty Springfield",59,3
"Willie & The Hand Jive","George Thorogood & The Destroyers",205,8
"Willie And The Hand Jive","Eric Clapton",505,9
"Willie And The Hand Jive","The Johnny Otis Show",747,10
"Willie Can","Sue Thompson",98,5
"Willing To Forgive","Aretha Franklin",967,20
"Willow","Taylor Swift",1274,20
"Willow Weep For Me","Chad & Jeremy",808,13
"Willpower Weak, Temptation Strong","Bullet",10,2
"Willyam, Willyam","Dee Dee Sharp",4,1
"Wilshire","Tyler, The Creator",6,1
"Win Your Love For Me","Sam Cooke",798,17
"Winchester Cathedral","Dana Rollin",144,6
"Winchester Cathedral","The New Vaudeville Band",1314,15
"Wind Beneath My Wings","Lou Rawls",156,6
"Wind Beneath My Wings (From ""Beaches"")","Bette Midler",1738,29
"Wind Him Up","Saga",201,8
"Wind It Up","Gwen Stefani",1104,18
"Wind Of Change","Scorpions",1619,25
"Window Pain (Outro)","J. Cole",60,1
"Window Seat","Erykah Badu",10,3
"Window Shopper","50 Cent",625,11
"Windows","Missing Persons",194,8
"Windows Down","Big Time Rush",4,1
"Winds Of Change","Jefferson Starship",501,11
"Windy","The Association",1242,14
"Windy","Wes Montgomery",480,11
"Wine, Beer, Whiskey","Little Big Town",1,1
"Wings","Little Mix",82,9
"Wings Of A Butterfly","HIM",18,2
"Wings Of A Dove","Ferlin Husky",1243,18
"Wings Of The Morning","Capleton",163,10
"Wink","Neal McCoy",18,4
"Winkin', Blinkin' And Nod","The Simon Sisters",128,6
"Winner","Jamie Foxx Featuring Justin Timberlake & T .I.",624,11
"Winner At A Losing Game","Rascal Flatts",634,20
"Winner Takes It All","Sammy Hagar",381,14
"Winners And Losers","Hamilton, Joe Frank & Reynolds",868,15
"Winning","Santana",1043,18
"Wins & Losses","Meek Mill",22,1
"Winter Games","David Foster",35,3
"Winter World Of Love","Engelbert Humperdinck",767,12
"Wipe Me Down","Lil Boosie Featuring Foxx & Webbie",696,18
"Wipe Out","The Surfaris",2019,30
"Wipe Your Eyes","Maroon 5",21,1
"Wipeout","Fat Boys & The Beach Boys",1171,19
"Wired For Sound","Cliff Richard",78,4
"Wise Up","Amy Grant",200,9
"Wish I Didn't Miss You","Angie Stone",244,19
"Wish I Knew You","The Revivalists",85,9
"Wish It Were Me","The Platters",134,7
"Wish Me A Rainbow","The Gunter Kallmann Chorus",238,8
"Wish Someone Would Care","Irma Thomas",750,12
"Wish That I Could Talk To You","The Sylvers",117,10
"Wish Wish","DJ Khaled Featuring Cardi B & 21 Savage",333,15
"Wish You Didn't Have To Go","James & Bobby Purify",303,6
"Wish You Were Gay","Billie Eilish",319,11
"Wish You Were Here","Avril Lavigne",137,7
"Wish You Were Here","Incubus",667,20
"Wish You Were Here","Mark Wills",846,20
"Wish You Were Here, Buddy","Pat Boone",290,8
"Wishes (From ""Kazaam"")","Nathan Morris",30,5
"Wishful Sinful","The Doors",285,6
"Wishful Thinking","Little Anthony And The Imperials",29,2
"Wishin' And Hopin'","Dusty Springfield",990,13
"Wishin' On A Rainbow","Phill Wilson",16,2
"Wishing","DJ Drama Featuring Chris Brown, Skeme & Lyquin",162,14
"Wishing (If I Had A Photograph Of You)","A Flock Of Seagulls",765,14
"Wishing I Was Lucky","Wet Wet Wet",224,8
"Wishing It Was You","Connie Francis",226,7
"Wishing On A Star","The Cover Girls",1446,20
"Wishing On The Same Star","Keedy",36,4
"Wishing Well","Juice WRLD",1098,20
"Wishing Well","Terence Trent D'Arby",1662,25
"Wishing You Were Here","Chicago",959,15
"Wishlist","Pearl Jam",545,20
"Wit It","Gunna",26,1
"Wit Me","T.I. Featuring Lil Wayne",30,2
"Witch Doctor (2007)","Alvin And The Chipmunks Featuring Chris Classic",85,3
"Witchcraft","Elvis Presley With The Jordanaires",383,7
"Witchi Tai To","Everything Is Everything",123,5
"Witchy Woman","Eagles",925,13
"With A Child's Heart","Michael Jackson",285,7
"With A Girl Like You","The Troggs",428,8
"With A Little Help From My Friends","Joe Cocker",142,6
"With A Little Luck","Wings",1300,18
"With All Of My Heart","Brook Benton",19,1
"With Arms Wide Open","Creed",3157,47
"With Every Beat Of My Heart","Taylor Dayne",1323,18
"With Love","Hilary Duff",461,9
"With Me","Lonestar",361,15
"With My Eyes Wide Open I'm Dreaming","Enoch Light & The Light Brigade",2,1
"With My Eyes Wide Open I'm Dreaming","Patti Page",238,7
"With Open Arms","Jane Morgan",399,11
"With or Without You","U2",1327,18
"With Pen In Hand","Billy Vera",250,6
"With Pen In Hand","Bobby Goldsboro",22,5
"With Pen In Hand","Vikki Carr",631,13
"With The Wind And The Rain In Your Hair","Pat Boone",759,14
"With Them","Young Thug",14,1
"With These Hands","Tom Jones",456,8
"With This Ring","The Platters",706,12
"With You","Chris Brown",2477,29
"With You","Drake Featuring PARTYNEXTDOOR",211,7
"With You","Jessica Simpson",1664,23
"With You","Lila McCann",681,19
"With You","Somethin' For The People",4,2
"With You","Tony Terry",1317,23
"With You All The Way","New Edition",354,11
"With You I'm Born Again","Billy Preston & Syreeta",1562,29
"With You Tonight / Hasta El Amanecer","Nicky Jam",314,19
"With Your Love","Jack Scott",472,10
"With Your Love","Jefferson Starship",1108,17
"Within My Heart","Voyce",211,13
"Without Her","Herb Alpert",190,6
"Without Love","Aretha Franklin",369,8
"Without Love","Donna Lewis",583,15
"Without Love (There Is Nothing)","Oscar Toney, Jr.",24,3
"Without Love (There Is Nothing)","Ray Charles",422,7
"Without Love (There Is Nothing)","Tom Jones",906,11
"Without Me","Eminem",1700,20
"Without Me","Fantasia Featuring Kelly Rowland & Missy Elliott",28,2
"Without Me","Halsey",4615,52
"Without The One You Love (Life's Not Worth While)","Four Tops",242,5
"Without You","David Bowie",91,4
"Without You","David Guetta Featuring Usher",2470,30
"Without You","Dixie Chicks",1078,20
"Without You","Glee Cast",73,1
"Without You","Hinder",87,9
"Without You","Johnny Tillotson",871,13
"Without You","Keith Urban",640,18
"Without You","Luke Combs Featuring Amanda Shires",54,2
"Without You","Motley Crue",1101,17
"Without You","Nilsson",1427,19
"Without You","Peabo Bryson & Regina Belle",27,3
"Without You","The Kid LAROI",2391,38
"Without You","The Kid LAROI & Miley Cyrus",171,22
"Without You (Not Another Lonely Night)","Franke & The Knockouts",755,15
"Without You In My Life","Tyrone Davis",239,9
"Without You/Never Forget You","Mariah Carey",1971,23
"Without Your Love","Angelina",144,15
"Without Your Love","Roger Daltrey",953,19
"Without Your Love","Toto",475,11
"Without Your Love (mr. Jordan)","Charlie Ross",318,7
"Wives And Lovers","Jack Jones",917,14
"Wizard Of Love","The Ly - Dells",199,6
"Wkrp In Cincinnati","Steve Carlisle",243,10
"Woah","Lil Baby",1538,21
"Wobble","V.I.C.",14,2
"Wobble Wobble","504 Boyz",806,18
"Wockesha","Moneybagg Yo",1634,27
"Wokeuplikethis*","Playboi Carti Featuring Lil Uzi Vert",138,10
"WOLD","Harry Chapin",502,13
"Wolf Creek Pass","C.W. McCall",506,11
"Wolverton Mountain","Claude King",1146,16
"Wolves","Big Sean Featuring Post Malone",37,2
"Wolves","Selena Gomez X Marshmello",1502,23
"Woman","Doja Cat",390,13
"Woman","John Lennon",1628,20
"Woman","Kesha Featuring The Dap-Kings Horns",5,1
"Woman","Peter And Gordon",811,12
"Woman","Raheem DeVaughn",14,4
"Woman's Got Soul","The Impressions",388,7
"Woman's Gotta Have It","(The Preacher) Bobby Womack",287,9
"Woman Don't Go Astray","King Floyd",442,12
"Woman From Tokyo","Deep Purple",165,6
"Woman Helping Man","The Vogues",250,6
"Woman In Chains","Tears For Fears",554,14
"Woman In Love","Barbra Streisand",1882,24
"Woman Is A Man's Best Friend","Teddy & The Twilights",226,8
"Woman Is The Nigger Of The World","John Lennon/Plastic Ono Band With Elephant's Memory",175,5
"Woman Like That, Yeah","Joe Tex",242,7
"Woman To Woman","Barbara Mandrell",27,5
"Woman To Woman","Jewell",196,9
"Woman To Woman","Joe Cocker and The Chris Stainton Band",300,9
"Woman To Woman","Shirley Brown",786,14
"Woman Tonight","America",397,9
"Woman, Amen","Dierks Bentley",249,12
"Woman, Woman","The Union Gap Featuring Gary Puckett",1379,17
"Womanizer","Britney Spears",1916,23
"Wombling Summer Party","The Wombles",176,7
"Women","Def Leppard",68,5
"Women","Foreigner",366,9
"Women's Love Rights","Laura Lee",515,11
"Women Lie, Men Lie","Yo Gotti Featuring Lil Wayne",99,7
"Won'cha Come Home, Bill Bailey","Della Reese",3,1
"Won't Back Down","Eminem Featuring P!nk",39,1
"Won't Be Late","Swae Lee Featuring Drake",26,1
"Won't Be Long","Aretha Franklin With The Ray Bryant Combo",49,3
"Won't Find Better (Than Me)","The New Hope",274,9
"Won't Get Fooled Again","The Who",880,13
"Won't Go Home Without You","Maroon 5",787,20
"Won't Talk About It","Beats International",106,8
"Won't You Come Home Bill Bailey","Bobby Darin",652,11
"Wonder","Natalie Merchant",2577,38
"Wonder","Shawn Mendes",605,11
"Wonder Could I Live There Anymore","Charley Pride",38,3
"Wonderful","Adam Ant",761,19
"Wonderful","Blackwell",24,2
"Wonderful","Everclear",1466,21
"Wonderful","Isaac Hayes",147,8
"Wonderful","Ja Rule Featuring R. Kelly & Ashanti",1522,20
"Wonderful Baby","Don McLean",19,3
"Wonderful Christmastime","Paul McCartney",238,4
"Wonderful Summer","Robin Ward",706,10
"Wonderful Tonight","Eric Clapton",804,17
"Wonderful World","Herman's Hermits",822,10
"Wonderful World","Sam Cooke",975,15
"Wonderful World, Beautiful People","Jimmy Cliff",669,11
"Wonderful You","Jimmie Rodgers",290,7
"Wonderful! Wonderful!","The Tymes",788,11
"Wonderin' Bout The Wind","Morgan Wallen",8,1
"Wondering Where The Lions Are","Bruce Cockburn",912,17
"Wonderland","Big Country",29,2
"Wonderland","Commodores",737,15
"Wonderland","Taylor Swift",50,1
"Wonderland By Night","Anita Bryant",602,10
"Wonderland By Night","Bert Kaempfert And His Orchestra",1475,17
"Wonderland By Night","Louis Prima",806,14
"Wonderwall","Oasis",1396,20
"Wont'cha Come Home","Lloyd Price and His Orchestra",367,10
"Woo-Hah!! Got You All In Check/Everything Remains Raw","Busta Rhymes",1328,20
"Woo-Hoo","Rock-A-Teens",809,12
"Woo Baby","Pop Smoke Featuring Chris Brown",50,3
"Wood Beez (Pray Like Aretha Franklin)","Scritti Politti",27,4
"Wooden Heart","Bobby Vinton",136,5
"Wooden Heart","Joe Dowell",1172,16
"Woods","Mac Miller",26,1
"Woodstock","Crosby, Stills, Nash & Young",847,11
"Woodstock","Matthews' Southern Comfort",892,16
"Woodstock","The Assembled Multitude",68,4
"Woof","Snoop Dogg Featuring Mystikal And Fiend",281,12
"Woof Woof","69 Boyz",704,16
"Woohoo","Christina Aguilera Featuring Nicki Minaj",24,2
"Wooly Bully","Sam The Sham and the Pharaohs",1399,18
"Wop","J. Dash",329,15
"Word Crimes","""Weird Al"" Yankovic",72,2
"Word Is Bond","Brand Nubian",8,2
"Word Of Mouth","Mike + The Mechanics",98,6
"Word On The Street","Lil Baby",3,1
"Word To The Badd!!","Jermaine Jackson",31,2
"Word Up","Cameo",1396,21
"Wordplay","Jason Mraz",36,4
"Words","Bee Gees",734,11
"Words","F.R. David",226,9
"Words","Missing Persons",406,11
"Words","Pat Boone",7,1
"Words","The Monkees",645,9
"Words (are Impossible)","Donny Gerrard",66,6
"Words (are Impossible)","Margie Joseph",29,4
"Words Get In The Way","Miami Sound Machine",1446,24
"Words I Never Said","Lupe Fiasco Featuring Skylar Grey",12,1
"Words Of Love","The Mamas & The Papas",917,12
"Work","A$AP Ferg",2,2
"Work","Iggy Azalea",532,20
"Work","Rihanna Featuring Drake",3058,36
"Work B**ch!","Britney Spears",631,13
"Work From Home","Fifth Harmony Featuring Ty Dolla $ign",2838,34
"Work Hard, Play Hard","Wiz Khalifa",1274,20
"Work In Progress","Alan Jackson",755,19
"Work It","Missy ""Misdemeanor"" Elliott",2257,26
"Work It (Reinvention)","Nelly",108,5
"Work Out","J. Cole",1818,28
"Work That","Mary J. Blige",132,9
"Work That Body","Diana Ross",285,7
"Work To Do","The Isley Brothers",311,8
"Work To Do","Vanessa Williams",358,11
"Worker Man","Patra",489,16
"Workin' At The Car Wash Blues","Jim Croce",592,11
"Workin' For A Livin'","Huey Lewis & The News",395,9
"Workin' For The Man","Roy Orbison",532,11
"Workin' On A Groovy Thing","Patti Drew",322,11
"Workin' On A Groovy Thing","The 5th Dimension",674,10
"Working","Tate McRae X Khalid",34,6
"Working Class Hero","Green Day",241,6
"Working Class Hero","Tommy Roe",11,4
"Working Class Man","Jimmy Barnes",134,8
"Working For The Weekend","Loverboy",990,20
"Working In The Coal Mine","Devo",430,12
"Working In The Coal Mine","Lee Dorsey",835,12
"Working My Way Back To You","The 4 Seasons Featuring the ""Sound of Frankie Valli""",664,9
"Working My Way Back To You/Forgive Me, Girl","The Spinners",1666,25
"Working On A Dream","Bruce Springsteen",6,1
"Working On It","Chris Rea",136,7
"Workout Stevie, Workout","Little Stevie Wonder",350,6
"World (Part 1)","James Brown",372,7
"World (The Price Of Love)","New Order",20,4
"World In My Eyes","Depeche Mode",368,10
"World Of Fantasy","The Five Stairsteps",283,8
"World Shut Your Mouth","Julian Cope",39,4
"World Where You Live","Crowded House",176,8
"World Wide Suicide","Pearl Jam",149,7
"Worldwide Beautiful","Kane Brown",1,1
"Worried Guy","Johnny Tillotson",356,7
"Worried Mind","Ray Anthony",147,8
"Worry","Johnny Tillotson",378,10
"Worse Comes To Worst","Billy Joel",50,4
"Worst Behavior","Drake",58,11
"Worst That Could Happen","Brooklyn Bridge",935,12
"Worth It","Fifth Harmony Featuring Kid Ink",2369,36
"Worth It","YK Osiris",1043,25
"Wot's It To Ya","Robbie Nevil",974,16
"Would I Lie To You?","Charles & Eddie",1812,26
"Would I Lie To You?","Eurythmics",1263,19
"Would It Make Any Difference To You","Etta James",221,7
"Would You Go With Me","Josh Turner",862,20
"Would You Lay With Me (in A Field Of Stone)","Tanya Tucker",353,10
"Wouldn't Get Far","The Game Featuring Kanye West",227,9
"Wouldn't It Be Good","Nik Kershaw",455,13
"Wouldn't It Be Nice","The Beach Boys",765,11
"Wouldn't Leave","Kanye West Featuring PARTYNEXTDOOR",86,2
"Wow","The Disco Sound Of Andre Gagnon",9,3
"Wow Wow Wee (He's The Boy For Me)","The Angels",275,7
"Wow.","Post Malone",3767,44
"Wrack My Brain","Ringo Starr",487,11
"Wrap Her Up","Elton John",882,14
"Wrap It Up","Archie Bell & The Drells",16,2
"Wrap It Up","The Fabulous Thunderbirds",348,10
"Wrap My Body Tight","Johnny Gill",47,4
"Wrap Your Arms Around Me","KC And The Sunshine Band",270,7
"Wrapped","George Strait",302,16
"Wrapped Around","Brad Paisley",896,20
"Wrapped Around Your Finger","The Police",1059,16
"Wrapped Up In You","Garth Brooks",735,20
"Wrecking Ball","Miley Cyrus",2707,32
"Write This Down","George Strait",1114,20
"Writing's On The Wall","Sam Smith",58,2
"Writing On The Wall","French Montana Featuring Post Malone, Cardi B & Rvssian",83,3
"Written All Over Your Face","The Rude Boys",1153,18
"Written In The Sand","Old Dominion",500,20
"Written In The Stars","Elton John & LeAnn Rimes",396,10
"Written In The Stars","Tinie Tempah Featuring Eric Turner",1355,20
"Written On Ya Kitten","Naughty By Nature",19,3
"Wrong","Everything But The Girl",260,10
"Wrong Again","Martina McBride",455,9
"Wrong Baby Wrong","Martina McBride",251,15
"Wrong For Each Other","Andy Williams",489,9
"Wrong Impression","Natalie Imbruglia",193,8
"Wrong Night","Reba",418,13
"WTF (Where They From)","Missy Elliott Featuring Pharrell Williams",452,14
"Wu-Tang Forever","Drake",102,3
"Wu-Wear: The Garment Renaissance (From ""High School High"")","RZA Feat. Method Man & Cappadonna",305,12
"Wunna","Gunna",44,1
"WUSYANAME","Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign",204,7
"www.memory","Alan Jackson",564,15
"Wyclef Jean","Young Thug",14,1
"Wynken, Blynken And Nod","The Doobie Brothers",67,4
"X","21 Savage & Metro Boomin Featuring Future",1045,21
"X","Chris Brown",3,1
"X","Jonas Brothers Featuring Karol G",205,7
"X","Lil Uzi Vert",28,2
"X","Nicky Jam x J Balvin",959,21
"X","ScHoolboy Q, 2 Chainz & Saudi",155,5
"X","Xzibit",162,10
"X Gon' Give It To Ya","DMX",323,17
"Xanadu","Olivia Newton-John And The Electric Light Orchestra",1089,17
"XanaX Damage","Future",3,1
"Xanny","Billie Eilish",95,4
"XO","Beyonce",388,10
"XO","John Mayer",11,1
"XO TOUR Llif3","Lil Uzi Vert",2728,34
"XXL","DaBaby",32,1
"XXX.","Kendrick Lamar Featuring U2",135,3
"Y.M.C.A.","Village People",1971,26
"Y.U. Mad","Birdman Featuring Nicki Minaj & Lil Wayne",33,1
"Ya Superame (En Vivo Desde Culiacan, Sinaloa)","Grupo Firme",18,2
"Ya Ya","Lee Dorsey",917,13
"Yacht Club","Lil Yachty Featuring Juice WRLD",10,1
"Yah Mo B There","James Ingram With Michael McDonald",1023,18
"Yah.","Kendrick Lamar",117,3
"YAHHH!","Soulja Boy Tell'em Featuring Arab",429,13
"Yakety Axe","Chet Atkins",6,2
"Yakety Sax","Boots Randolph and his Combo",437,9
"Yakety Yak","The Coasters",435,7
"Yank Me, Crank Me","Ted Nugent",187,7
"Yankee Rose","David Lee Roth",850,15
"YaYa","6ix9ine",2,1
"Ye vs The People","Kanye West Featuring T.I.",16,1
"Yea - Yea (Class Cutter)","Dale Hawkins",226,6
"Yea Yea","Pop Smoke",58,1
"Yeah","Joe Nichols",730,20
"Yeah 3X","Chris Brown",1703,24
"Yeah Boy","Kelsea Ballerini",227,13
"Yeah Ya Know (Takers)","T.I.",58,2
"Yeah Yeah U Know It","Keith Murray Featuring Def Squad",2,1
"Yeah!","Usher Featuring Lil Jon & Ludacris",3817,45
"Yeah, Yeah, Yeah","Judson Spence",662,14
"Yeah, Yeah, Yeah!","Voices",146,8
"Year 3000","Jonas Brothers",350,9
"Year Of The Cat","Al Stewart",1006,17
"Yearning For Your Love","The Gap Band",172,7
"Years","Wayne Newton",558,13
"Years From Now","Dr. Hook",260,9
"Years From Now","Jackie Wilson",246,6
"Years Go By","Bryson Tiller",17,1
"Yebba's Heartbreak","Drake & Yebba",102,2
"Yee Haw","Jake Owen",72,7
"Yeh-Yeh!","Mongo Santamaria Orch.",9,1
"Yeh, Yeh","Georgie Fame And The Blue Flames",511,8
"Yellow","Coldplay",557,20
"Yellow Balloon","The Yellow Balloon",544,10
"Yellow Bird","Arthur Lyman Group",958,12
"Yellow Bird","Lawrence Welk And His Orchestra",114,5
"Yellow Bird","The Mills Brothers",129,5
"Yellow Flicker Beat","Lorde",226,9
"Yellow Hearts","Ant Saunders",79,8
"Yellow River","Christie",1103,23
"Yellow Submarine","The Beatles",779,9
"Yes - Sir - ee","Dodie Stevens",41,3
"Yes (From The Motion Picture ""Dirty Dancing"")","Merry Clayton",374,11
"Yes I Do","Solomon Burke",17,3
"Yes I Want You","Ivory Joe Hunter",7,1
"Yes Indeed","Lil Baby & Drake",2310,29
"Yes Indeed","Pete Fountain",157,6
"Yes It Is","The Beatles",176,4
"Yes Or No","Go-Go's",40,3
"Yes Sir, That's My Baby","Ricky Nelson",305,6
"Yes We Can Can","The Pointer Sisters",1083,16
"Yes!","Chad Brock",1104,20
"Yes, I'm Lonesome Tonight","Dodie Stevens",150,6
"Yes, I'm Lonesome Tonight","Thelma Carpenter",193,6
"Yes, I'm Ready","Barbara Mason",967,14
"Yes, I'm Ready","Teri DeSario With K.C.",1574,23
"Yes, Yes, Yes","Bill Cosby",370,10
"Yessiree","Linda Scott",176,7
"Yessirskiii","Lil Uzi Vert & 21 Savage",83,2
"Yester-Me, Yester-You, Yesterday","Stevie Wonder",1041,14
"Yester Love","Smokey Robinson & The Miracles",434,8
"Yesterday","Adam Levine & Tony Lucca",33,1
"Yesterday","Debelah Morgan",331,11
"Yesterday","Ray Charles",424,7
"Yesterday","The Beatles",961,11
"Yesterday's Dreams","Four Tops",245,6
"Yesterday's Gone","Chad & Jeremy",515,9
"Yesterday's Gone","The Overlanders",124,7
"Yesterday's Hero","Bay City Rollers",249,7
"Yesterday's Hero","Gene Pitney",135,5
"Yesterday's Hero","John Paul Young",316,9
"Yesterday's Rain","Spanky And Our Gang",19,3
"Yesterday's Songs","Neil Diamond",1112,15
"Yesterday And You (Armen's Theme)","Bobby Vee",254,7
"Yesterday I Had The Blues","Harold Melvin And The Blue Notes",198,7
"Yesterday Man","Chris Andrews",7,1
"Yesterday Once More","Carpenters",1091,14
"Yesterday Once More/Nothing Remains The Same","The Spinners",226,8
"Yesterday, When I Was Young","Roy Clark",604,10
"Yesterdays","Guns N' Roses",183,10
"Yet...I Know (Et Pourtant)","Steve Lawrence",104,6
"Yield Not To Temptation","Bobby Bland",219,8
"Yikes","Kanye West",221,5
"Yikes","Nicki Minaj",98,2
"Yo-Yo","The Osmonds",1084,13
"Yo (Excuse Me Miss)","Chris Brown",1574,21
"Yo Little Brother","Nolan Thomas",344,13
"Yo No Se","Pajama Party",180,10
"Yo Perreo Sola","Bad Bunny",530,17
"Yo Visto Asi","Bad Bunny",37,1
"Yoga","Janelle Monae & Jidenna",84,6
"Yogi","The Ivy Three",719,10
"Yolanda","Reality",149,10
"Yolo","The Lonely Island Featuring Adam Levine & Kendrick Lamar",41,1
"Yonaguni","Bad Bunny",901,20
"Yosemite","Travis Scott",490,18
"You","Bonnie Raitt",43,7
"You","Candlebox",229,18
"You","Chris Young",870,20
"You","Earth, Wind & Fire",437,12
"You","George Harrison",594,10
"You","Jacquees",324,12
"You","Jesse Powell",1344,20
"You","Lloyd Featuring Lil Wayne",1648,24
"You","Marvin Gaye",373,7
"You","Monifah",880,19
"You","Regard x Troye Sivan x Tate McRae",360,11
"You","Rita Coolidge",611,12
"You","Romeo Santos",4,1
"You","Ryan Duarte",145,14
"You","The McCrarys",292,8
"You'd Better Believe It","The Manhattans",109,8
"You'd Better Come Home","Petula Clark",539,9
"You'd Better Come Home","Russell Byrd",163,5
"You'll Accomp'ny Me","Bob Seger",948,16
"You'll Always Be Loved By Me","Brooks & Dunn",459,19
"You'll Always Be The One I Love","Dean Martin",156,5
"You'll Always Find Your Way Back Home","Hannah Montana",51,4
"You'll Answer To Me","Patti Page",281,6
"You'll Be In My Heart","Phil Collins",975,20
"You'll Be Mine (Party Time)","Gloria Estefan",219,10
"You'll Be There","George Strait",524,17
"You'll Lose A Good Thing","Barbara Lynn",843,13
"You'll Lose A Good Thing","Freddy Fender",488,10
"You'll Love Again","Hotel",120,7
"You'll Miss Me (When I'm Gone)","Fontella Bass & Bobby McClure",18,2
"You'll Never Find Another Love Like Mine","Lou Rawls",1466,21
"You'll Never Get To Heaven (If You Break My Heart)","Dionne Warwick",429,9
"You'll Never Get To Heaven (If You Break My Heart)","The Stylistics",553,10
"You'll Never Walk Alone","Elvis Presley With The Jordanaires",22,2
"You'll Never Walk Alone","Gerry And The Pacemakers",228,6
"You'll Never Walk Alone","Patti LaBelle And The Blue Belles",360,8
"You'll Never Walk Alone","The Brooklyn Bridge",257,6
"You'll See","Madonna",1442,20
"You'll Think Of Me","Keith Urban",1088,20
"You're A Big Girl Now","The Stylistics",125,7
"You're A Friend Of Mine","Clarence Clemons & Jackson Browne",1142,19
"You're A God","Vertical Horizon",1344,21
"You're A Jerk","New Boyz",936,20
"You're A Lady","Dawn Featuring Tony Orlando",167,8
"You're A Lady","Peter Skellern",269,8
"You're A Mean One, Mr. Grinch","Thurl Ravenscroft",121,2
"You're A Part Of Me","Gene Cotton With Kim Carnes",582,12
"You're A Part Of Me","Susan Jacks",27,5
"You're A Special Part Of Me","Diana Ross & Marvin Gaye",880,12
"You're A Sweetheart","Dinah Washington",6,2
"You're A Sweetheart","Little Willie John",65,4
"You're A Very Lovely Woman","The Merry-Go-Round",14,3
"You're A Wonderful One","Marvin Gaye",696,10
"You're All I Need","Bobby Bland",26,2
"You're All I Need","Motley Crue",91,8
"You're All I Need To Get By","Aretha Franklin",577,9
"You're All I Need To Get By","Johnny Mathis & Deniece Williams",291,8
"You're All I Need To Get By","Marvin Gaye & Tammi Terrell",887,12
"You're All I Need To Get By","Tony Orlando & Dawn",347,7
"You're All That Matters To Me","Curtis Stigers",3,1
"You're Amazing","Robert Palmer",641,13
"You're Beautiful","James Blunt",2905,38
"You're Beginning To Get To Me","Clay Walker",486,13
"You're Driving Me Out Of My Mind","Little River Band",506,11
"You're Easy On The Eyes","Terri Clark",451,12
"You're Following Me","Perry Como",22,3
"You're Fooling You","The Dramatics",40,3
"You're Gonna Get What's Coming","Bonnie Raitt",129,6
"You're Gonna Go Far, Kid","The Offspring",471,18
"You're Gonna Make Me Cry","O.V. Wright",52,5
"You're Gonna Miss Me","Connie Francis",507,10
"You're Gonna Miss Me","The Thirteenth Floor Elevators",268,8
"You're Gonna Miss This","Trace Adkins",1073,20
"You're Gonna Need Magic","Roy Hamilton",38,3
"You're Gonna Need Me","Barbara Lynn",163,6
"You're Good For Me","Solomon Burke",293,8
"You're In Good Hands","Jermaine Jackson",75,5
"You're In Love","Ratt",20,2
"You're In Love","Wilson Phillips",1377,19
"You're In My Heart (The Final Acclaim)","Rod Stewart",1528,22
"You're Just About To Lose Your Clown","Ray Charles",12,2
"You're Just The Right Size","The Salsoul Orchestra",45,5
"You're Like Comin' Home","Lonestar",287,11
"You're Looking Good","Dee Clark",377,10
"You're Looking Like Love To Me","Peabo Bryson & Roberta Flack",255,11
"You're Makin' Me High/Let It Flow","Toni Braxton",3439,41
"You're Making A Mistake","The Platters",85,3
"You're Mine (Eternal)","Mariah Carey",13,1
"You're Mine Tonight","Pure Prairie League",107,5
"You're Mines Still","Yung Bleu Featuring Drake",1445,23
"You're Movin' Out Today","Bette Midler",423,14
"You're Moving Out Today","Carole Bayer Sager",125,7
"You're My Baby","Sarah Vaughan",18,2
"You're My Baby (And Don't You Forget It)","The Vacels",133,5
